"source" "journal" "statcheck_journal" "year_published" "date_received" "period" "nr_nhst" "nr_errors" "nr_dec_errors" "perc_errors" "perc_dec_errors"
"'A vengefulness of the impotent'  The pain of in-group inferiority and scha...  EBSCOhost" "JPSP" 0 2008 2006-05-02 0 23 2 0 8.7 0
"'Express Yourself'  Culture and the Effect of Self-Expression on Choice  EBSCOhost" "JPSP" 0 2007 2005-01-14 0 40 7 0 17.5 0
"'How long will I suffer ' versus 'How long will you suffer ' A self-other e...  EBSCOhost" "JPSP" 0 2008 2007-12-07 0 47 13 3 27.66 6.38
"'I Am Us'  Negative Stereotypes as Collective Threats  EBSCOhost" "JPSP" 0 2005 2004-07-08 0 55 3 0 5.45 0
"'I know you self-handicapped last exam'  Gender differences in reactions to...  EBSCOhost" "JPSP" 0 2003 2000-05-19 0 112 8 2 7.14 1.79
"'It's the End of the World as We Know It'  Threat and the Spatial-Symbolic ...  EBSCOhost" "JPSP" 0 2004 2002-05-08 0 24 2 0 8.33 0
"'The part of me that you bring out'  Ideal similarity and the Michelangelo ...  EBSCOhost" "JPSP" 0 2009 2008-08-01 0 11 1 0 9.09 0
"'Walking on eggshells'  How expressing relationship insecurities perpetuate...  EBSCOhost" "JPSP" 0 2008 2006-11-15 0 46 0 0 0 0
"(Close) distance makes the heart grow fonder  Improving implicit racial att...  EBSCOhost" "JPSP" 0 2007 2005-12-15 0 22 1 0 4.55 0
"(Why) do I think what you think  Epistemic social tuning and implicit preju...  EBSCOhost" "JPSP" 0 2007 2006-05-19 0 16 0 0 0 0
"“Automatic or the People ”" "PS" 1 2011 2011-03-04 0 2 0 0 0 0
"“Blaming The Victim” Under Memory Load" "PS" 1 2003 2001-07-25 0 17 0 0 0 0
"“Gaze leading”  Initiating simulated joint attention influences eye movemen...  EBSCOhost" "JEPG" 0 2013 2011-07-27 0 11 1 0 9.09 0
"“He Loves Me, He Loves Me Not . . . ”" "PS" 1 2011 2010-07-07 0 8 0 0 0 0
"“I'll have one of each”  How separating rewards into (meaningless) categori...  EBSCOhost" "JPSP" 0 2013 2011-06-28 0 26 2 1 7.69 3.85
"“Impulsivity”  Relations between self-report and behavior  EBSCOhost" "JPSP" 0 2013 2009-12-08 0 4 1 0 25 0
"“In-Group Love” and “Out-Group Hate” as Motives for Individual Participation in Intergroup Conflict" "PS" 1 2008 2007-07-04 0 8 5 0 62.5 0
"“Perceptual Scotomas”" "PS" 1 2008 2007-09-02 0 3 0 0 0 0
"“Prejudiced” behavior without prejudice  Beliefs about the malleability of ...  EBSCOhost" "JPSP" 0 2012 2011-01-26 0 64 22 0 34.38 0
"“That Is Bloody Revolting!”" "PS" 1 2005 2003-10-21 0 10 0 0 0 0
"“The Mind Is Willing, but the Flesh Is Weak”" "PS" 1 2012 2011-11-07 0 8 4 0 50 0
"“The Way I Am Is the Way You Ought to Be”" "PS" 1 2013 2012-05-28 0 32 0 0 0 0
"“Treating” Prejudice" "PS" 1 2012 2011-09-23 0 21 2 2 9.52 9.52
"“We All Look the Same to Me”" "PS" 1 2005 2004-09-03 0 27 1 0 3.7 0
"“We are people”  Ingroup humanization as an existential defense  EBSCOhost" "JPSP" 0 2010 2009-01-30 0 18 1 0 5.56 0
"“What about me ” Perceptions of exclusion and Whites' reactions to multicul...  EBSCOhost" "JPSP" 0 2011 2009-12-08 0 38 6 0 15.79 0
"“You Talkin’ to Me ”" "PS" 1 2010 2010-01-26 0 6 0 0 0 0
"0 + 1   1" "PS" 1 2012 2011-01-07 0 7 2 0 28.57 0
"1995 Feels So Close Yet So Far" "PS" 1 2010 2007-12-19 0 24 1 0 4.17 0
"9 11, Act II" "PS" 1 2012 2011-10-27 0 3 0 0 0 0
"A “Jekyll and Hyde” Within" "PS" 1 2005 2004-01-06 0 4 2 0 50 0
"A Bad Taste in the Mouth" "PS" 1 2011 2010-10-02 0 9 0 0 0 0
"A Bafri, un Pafri" "PS" 1 2013 2012-03-30 0 8 1 0 12.5 0
"A Bayesian Optimal Foraging Model of Human Visual Search" "PS" 1 2012 2011-09-19 0 11 1 0 9.09 0
"A Behavioral Demonstration of Overconfidence in Judgment" "PS" 1 2013 2012-06-04 0 15 0 0 0 0
"A Bilingual Advantage in Visual Language Discrimination in Infancy" "PS" 1 2012 2011-08-30 0 7 2 0 28.57 0
"A Brief Intervention to Promote Conflict Reappraisal Preserves Marital Quality Over Time" "PS" 1 2013 2012-08-16 0 4 3 0 75 0
"A bump on a bump  Emerging intuitions concerning the relative difficulty of...  EBSCOhost" "JEPG" 0 2010 2008-12-26 0 26 3 1 11.54 3.85
"A case for inhibition  Visual attention suppresses the processing of irrele...  EBSCOhost" "JEPG" 0 2008 2006-10-30 0 27 0 0 0 0
"A Choice Mind-Set Increases the Acceptance and Maintenance of Wealth Inequality" "PS" 1 2012 2011-10-27 0 26 0 0 0 0
"A common-coding account of the bidirectional evaluation–behavior link  EBSCOhost" "JEPG" 0 2009 2008-04-02 0 29 1 0 3.45 0
"A Common Discrete Resource for Visual Working Memory and Visual Search" "PS" 1 2013 2012-04-05 0 20 5 0 25 0
"A Cross-Species Investigation of Acetylcholine, Attention, and Feature Binding" "PS" 1 2008 2008-01-26 0 18 0 0 0 0
"A cultural task analysis of implicit independence  Comparing North America,...  EBSCOhost" "JPSP" 0 2009 2008-04-04 0 29 0 0 0 0
"A Direct Assessment of the Role of Expectation in Inhibition of Return" "PS" 1 2007 2006-08-28 0 4 0 0 0 0
"A Dirty Word or a Dirty World " "PS" 1 2010 2008-09-18 0 5 1 0 20 0
"A Dissociation Between Judged Causality and Imagined Locations in Simple Dynamic Scenes" "PS" 1 2011 2010-07-09 0 6 0 0 0 0
"A Dissociation Between Linguistic and Communicative Abilities in the Human Brain" "PS" 1 2010 2009-02-03 0 1 1 0 100 0
"A Dissociation of Performance and Awareness During Binocular Rivalry" "PS" 1 2013 2013-01-28 0 3 2 0 66.67 0
"A dose of ruthlessness  Interpersonal moral judgment is hardened by the ant...  EBSCOhost" "JEPG" 0 2013 2012-02-19 0 21 4 0 19.05 0
"A Double Dissociation of Implicit and Explicit Memory in Younger and Older Adults" "PS" 1 2011 2010-09-03 0 6 0 0 0 0
"A Double Standard When Group Members Behave Badly  Transgression Credit to ...  EBSCOhost" "JPSP" 0 2013 2011-08-18 0 85 6 0 7.06 0
"A dual-motive model of scapegoating  Displacing blame to reduce guilt or in...  EBSCOhost" "JPSP" 0 2012 2011-07-21 0 36 7 0 19.44 0
"A Dual-Process Model of Reactions to Perceived Stigma  EBSCOhost" "JPSP" 0 2004 2003-11-02 0 25 0 0 0 0
"A Dual Contribution to the Involuntary Semantic Processing of Unexpected Sp...  EBSCOhost" "JEPG" 0 2013 2012-06-26 0 8 2 0 25 0
"A Dynamic Neural Field Model of Visual Working Memory and Change Detection" "PS" 1 2009 2007-12-26 0 8 1 1 12.5 12.5
"A Face Only an Investor Could Love" "PS" 1 2011 2011-04-01 0 4 1 0 25 0
"A facial expression for anxiety  EBSCOhost" "JPSP" 0 2012 2011-02-04 0 6 0 0 0 0
"A first large cohort study of personality trait stability over the 40 years...  EBSCOhost" "JPSP" 0 2006 2005-12-05 0 15 9 0 60 0
"A frog in your throat or in your ear  Searching for the causes of poor sing...  EBSCOhost" "JEPG" 0 2012 2011-01-20 0 85 8 1 9.41 1.18
"A Function of Form  Terror Management and Structuring the Social World  EBSCOhost" "JPSP" 0 2004 2003-06-12 0 20 2 0 10 0
"A Functional Basis for Structure-Seeking  Exposure to Structure Promotes Wi...  EBSCOhost" "JEPG" 0 2013 2013-05-14 0 11 1 1 9.09 9.09
"A Functional Role for Motor Simulation in Identifying Tools" "PS" 1 2010 2009-02-24 0 8 0 0 0 0
"A Functional Role for the Motor System in Language Understanding" "PS" 1 2011 2010-05-27 0 2 0 0 0 0
"A hierarchical process-dissociation model  EBSCOhost" "JEPG" 0 2008 2007-03-16 0 1 0 0 0 0
"A joke is just a joke (except when it isn't)  Cavalier humor beliefs facili...  EBSCOhost" "JPSP" 0 2010 2009-07-16 0 35 0 0 0 0
"A Labor Leisure Tradeoff in Cognitive Control  EBSCOhost" "JEPG" 0 2012 2011-12-01 0 5 0 0 0 0
"A little thanks goes a long way  Explaining why gratitude expressions motiv...  EBSCOhost" "JPSP" 0 2010 2009-02-22 0 39 3 0 7.69 0
"A matter of matching  How goals and primes affect self-agency experiences  EBSCOhost" "JEPG" 0 2013 2012-04-11 0 34 0 0 0 0
"A Mechanism for Error Detection in Speeded Response Time Tasks  EBSCOhost" "JEPG" 0 2005 2002-11-28 0 24 1 0 4.17 0
"A meta-analysis of normal and disordered personality across the life span  EBSCOhost" "JPSP" 0 2010 2009-03-02 0 1 0 0 0 0
"A meta-analytic test of intergroup contact theory  EBSCOhost" "JPSP" 0 2006 2003-11-13 0 44 2 0 4.55 0
"A model of the go no-go task  EBSCOhost" "JEPG" 0 2007 2005-07-18 0 10 2 0 20 0
"A Motion Aftereffect From Still Photographs Depicting Motion" "PS" 1 2008 2007-07-01 0 8 5 0 62.5 0
"A Multidimensional Structure for Repetitive Thought  What's on Your Mind, a...  EBSCOhost" "JPSP" 0 2003 2000-10-23 0 3 2 1 66.67 33.33
"A nation challenged  The impact of foreign threat on America's tolerance fo...  EBSCOhost" "JPSP" 0 2008 2003-09-18 0 24 2 1 8.33 4.17
"A Neural Marker of Costly Punishment Behavior" "PS" 1 2010 2009-01-22 0 3 0 0 0 0
"A new consequence of Simpson's paradox  Stable cooperation in one-shot pris...  EBSCOhost" "JEPG" 0 2008 2007-07-02 0 37 10 0 27.03 0
"A New Look at Sensory Attenuation" "PS" 1 2010 2009-09-22 0 13 0 0 0 0
"A new look at the consequences of attitude certainty  The amplification hyp...  EBSCOhost" "JPSP" 0 2008 2007-07-28 0 41 3 1 7.32 2.44
"A new taxonomy of Dutch personality traits based on a comprehensive and unr...  EBSCOhost" "JPSP" 0 2008 2006-01-11 0 1 0 0 0 0
"A Noisy-Channel Account of Crosslinguistic Word-Order Variation" "PS" 1 2013 2011-08-30 0 5 2 1 40 20
"A novel view of between-categories contrast and within-category assimilatio...  EBSCOhost" "JPSP" 0 2006 2005-05-11 0 39 3 0 7.69 0
