"source" "journal" "statcheck_journal" "year_published" "date_received" "period" "nr_nhst" "nr_errors" "nr_dec_errors" "perc_errors" "perc_dec_errors"
"'Express Yourself'  Culture and the Effect of Self-Expression on Choice  EBSCOhost" "JPSP" 0 2007 2005-01-14 0 40 3 0 7.5 0
"'It's the End of the World as We Know It'  Threat and the Spatial-Symbolic ...  EBSCOhost" "JPSP" 0 2004 2002-05-08 0 24 2 0 8.33 0
"(Close) distance makes the heart grow fonder  Improving implicit racial att...  EBSCOhost" "JPSP" 0 2007 2005-12-15 0 22 1 0 4.55 0
"(Why) do I think what you think  Epistemic social tuning and implicit preju...  EBSCOhost" "JPSP" 0 2007 2006-05-19 0 16 0 0 0 0
"0 + 1   1" "PS" 1 2012 2011-01-07 0 7 2 0 28.57 0
"1995 Feels So Close Yet So Far" "PS" 1 2010 2007-12-19 0 24 1 0 4.17 0
"1_f noise and effort on implicit measures of bias_ EBSCOhost" "JPSP" 0 2008 2006-04-28 0 28 2 0 7.14 0
"9 11, Act II" "PS" 1 2012 2011-10-27 0 3 0 0 0 0
"A Bad Taste in the Mouth" "PS" 1 2011 2010-10-02 0 9 0 0 0 0
"A Bafri, un Pafri" "PS" 1 2013 2012-03-30 0 8 1 0 12.5 0
"A Bayesian Optimal Foraging Model of Human Visual Search" "PS" 1 2012 2011-09-19 0 11 1 0 9.09 0
"A Behavioral Demonstration of Overconfidence in Judgment" "PS" 1 2013 2012-06-04 0 15 0 0 0 0
"A Bilingual Advantage in Visual Language Discrimination in Infancy" "PS" 1 2012 2011-08-30 0 7 2 0 28.57 0
"A Brief Intervention to Promote Conflict Reappraisal Preserves Marital Quality Over Time" "PS" 1 2013 2012-08-16 0 4 3 0 75 0
"A Choice Mind-Set Increases the Acceptance and Maintenance of Wealth Inequality" "PS" 1 2012 2011-10-27 0 26 0 0 0 0
"A Common Discrete Resource for Visual Working Memory and Visual Search" "PS" 1 2013 2012-04-05 0 20 3 0 15 0
"A Cross-Species Investigation of Acetylcholine, Attention, and Feature Binding" "PS" 1 2008 2008-01-26 0 18 0 0 0 0
"A Direct Assessment of the Role of Expectation in Inhibition of Return" "PS" 1 2007 2006-08-28 0 4 0 0 0 0
"A Dirty Word or a Dirty World " "PS" 1 2010 2008-09-18 0 5 1 0 20 0
"A Dissociation Between Judged Causality and Imagined Locations in Simple Dynamic Scenes" "PS" 1 2011 2010-07-09 0 6 0 0 0 0
"A Dissociation Between Linguistic and Communicative Abilities in the Human Brain" "PS" 1 2010 2009-02-03 0 1 1 0 100 0
"A Dissociation of Performance and Awareness During Binocular Rivalry" "PS" 1 2013 2013-01-28 0 3 2 0 66.67 0
"A Double Dissociation of Implicit and Explicit Memory in Younger and Older Adults" "PS" 1 2011 2010-09-03 0 6 0 0 0 0
"A Dual Contribution to the Involuntary Semantic Processing of Unexpected Sp...  EBSCOhost" "JEPG" 0 2013 2012-06-26 0 8 2 0 25 0
"A Dual-Process Model of Reactions to Perceived Stigma  EBSCOhost" "JPSP" 0 2004 2003-11-02 0 25 0 0 0 0
"A Dynamic Neural Field Model of Visual Working Memory and Change Detection" "PS" 1 2009 2007-12-26 0 8 1 1 12.5 12.5
"A Face Only an Investor Could Love" "PS" 1 2011 2011-04-01 0 4 0 0 0 0
"A Function of Form  Terror Management and Structuring the Social World  EBSCOhost" "JPSP" 0 2004 2003-06-12 0 20 2 0 10 0
"A Functional Basis for Structure-Seeking  Exposure to Structure Promotes Wi...  EBSCOhost" "JEPG" 0 2013 2013-05-14 0 11 1 1 9.09 9.09
"A Functional Role for Motor Simulation in Identifying Tools" "PS" 1 2010 2009-02-24 0 8 0 0 0 0
"A Functional Role for the Motor System in Language Understanding" "PS" 1 2011 2010-05-27 0 2 0 0 0 0
"A Labor Leisure Tradeoff in Cognitive Control  EBSCOhost" "JEPG" 0 2012 2011-12-01 0 5 0 0 0 0
"A Mechanism for Error Detection in Speeded Response Time Tasks  EBSCOhost" "JEPG" 0 2005 2002-11-28 0 24 0 0 0 0
"A Motion Aftereffect From Still Photographs Depicting Motion" "PS" 1 2008 2007-07-01 0 8 5 0 62.5 0
"A Neural Marker of Costly Punishment Behavior" "PS" 1 2010 2009-01-22 0 3 0 0 0 0
"A New Look at Sensory Attenuation" "PS" 1 2010 2009-09-22 0 13 0 0 0 0
"A Noisy-Channel Account of Crosslinguistic Word-Order Variation" "PS" 1 2013 2011-08-30 0 5 1 0 20 0
"A Person-by-Situation Approach to Emotion Regulation" "PS" 1 2013 2012-10-11 0 16 0 0 0 0
"A Picture's Worth" "PS" 1 2009 2009-01-31 0 2 0 0 0 0
"A Prospective Investigation of the Relationship Between Just-World Beliefs and the Desire for Revenge After September 11, 2001" "PS" 1 2004 NA NA 5 0 0 0 0
"A Prospective Study of Memory for Child Sexual Abuse" "PS" 1 2003 2002-01-04 0 4 0 0 0 0
"A Rational Look at the Emotional Stroop Phenomenon  A Generic Slowdown, Not...  EBSCOhost" "JEPG" 0 2004 2002-10-15 0 32 0 0 0 0
"A Replication by Another Name" "PS" 1 2007 2006-06-26 0 1 0 0 0 0
"A Sex Difference in Mental Rotation in Young Infants" "PS" 1 2008 2008-04-16 0 4 0 0 0 0
"A Sex Difference in the Specificity of Sexual Arousal" "PS" 1 2004 2002-11-11 0 17 0 0 0 0
"A Short-Term Testing Effect in Cross-Language Recognition" "PS" 1 2012 2011-08-19 0 6 2 0 33.33 0
"A Simon Effect in Pigeons  EBSCOhost" "JEPG" 0 2005 2004-02-23 0 2 0 0 0 0
"A Single Exposure to the American Flag Shifts Support Toward Republicanism up to 8 Months Later" "PS" 1 2011 2010-12-13 0 18 3 1 16.67 5.56
"A Spontaneous Self-Reference Effect in Memory" "PS" 1 2010 2009-11-06 0 13 0 0 0 0
"A Time-Based Account of the Perception of Odor Objects and Valences" "PS" 1 2012 2011-05-26 0 3 0 0 0 0
"A Variable-Number-of-Tandem-Repeats Polymorphism in the Dopamine D4 Receptor Gene Affects Social Adaptation of Alcohol Use" "PS" 1 2010 2009-09-01 0 5 1 0 20 0
"A Word-Order Constraint in Single-Word Production " "PS" 1 2011 2010-10-14 0 8 0 0 0 0
"A Word-Order Constraint on Phonological Activation" "PS" 1 2008 2007-06-18 0 5 1 0 20 0
"A Wrinkle in Time" "PS" 1 2008 2007-07-18 0 31 2 0 6.45 0
"A bump on a bump  Emerging intuitions concerning the relative difficulty of...  EBSCOhost" "JEPG" 0 2010 2008-12-26 0 26 3 1 11.54 3.85
"A case for inhibition  Visual attention suppresses the processing of irrele...  EBSCOhost" "JEPG" 0 2008 2006-10-30 0 27 0 0 0 0
"A common-coding account of the bidirectional evaluation–behavior link  EBSCOhost" "JEPG" 0 2009 2008-04-02 0 29 0 0 0 0
"A cultural task analysis of implicit independence  Comparing North America,...  EBSCOhost" "JPSP" 0 2009 2008-04-04 0 29 0 0 0 0
"A dose of ruthlessness  Interpersonal moral judgment is hardened by the ant...  EBSCOhost" "JEPG" 0 2013 2012-02-19 0 21 4 0 19.05 0
"A dual-motive model of scapegoating  Displacing blame to reduce guilt or in...  EBSCOhost" "JPSP" 0 2012 2011-07-21 0 36 7 0 19.44 0
"A facial expression for anxiety  EBSCOhost" "JPSP" 0 2012 2011-02-04 0 6 0 0 0 0
"A frog in your throat or in your ear  Searching for the causes of poor sing...  EBSCOhost" "JEPG" 0 2012 2011-01-20 0 85 7 1 8.24 1.18
"A hierarchical process-dissociation model  EBSCOhost" "JEPG" 0 2008 2007-03-16 0 1 0 0 0 0
"A matter of matching  How goals and primes affect self-agency experiences  EBSCOhost" "JEPG" 0 2013 2012-04-11 0 34 0 0 0 0
"A model of the go no-go task  EBSCOhost" "JEPG" 0 2007 2005-07-18 0 10 2 0 20 0
"A new consequence of Simpson's paradox  Stable cooperation in one-shot pris...  EBSCOhost" "JEPG" 0 2008 2007-07-02 0 37 10 0 27.03 0
"A new look at the consequences of attitude certainty  The amplification hyp...  EBSCOhost" "JPSP" 0 2008 2007-07-28 0 41 3 1 7.32 2.44
"A novel view of between-categories contrast and within-category assimilatio...  EBSCOhost" "JPSP" 0 2006 2005-05-11 0 39 3 0 7.69 0
"A role for memory in prospective timing informs timing in prospective memor...  EBSCOhost" "JEPG" 0 2013 2011-11-11 0 20 1 0 5 0
"A route to well-being  Intelligence versus wise reasoning  EBSCOhost" "JEPG" 0 2013 2012-04-06 0 3 0 0 0 0
"A scale distortion theory of anchoring  EBSCOhost" "JEPG" 0 2012 2011-02-18 0 22 0 0 0 0
"A stability bias in human memory  Overestimating remembering and underestim...  EBSCOhost" "JEPG" 0 2009 2009-02-10 0 48 1 1 2.08 2.08
"A test of the circumvention-of-limits hypothesis in scientific problem solv...  EBSCOhost" "JEPG" 0 2012 2011-07-20 0 6 0 0 0 0
"A theory of dynamic occluded and illusory object perception  EBSCOhost" "JEPG" 0 2006 2005-11-14 0 45 2 0 4.44 0
"A tri-reference point theory of decision making under risk  EBSCOhost" "JEPG" 0 2012 2011-04-07 0 14 1 0 7.14 0
"A “Jekyll and Hyde” Within" "PS" 1 2005 2004-01-06 0 4 2 0 50 0
"Ability, luck, and looks  An evolutionary look at achievement ascriptions a...  EBSCOhost" "JPSP" 0 2007 2006-06-21 0 90 9 2 10 2.22
"About Turn" "PS" 1 2009 2008-05-13 0 25 0 0 0 0
"Absolute Pitch May Not Be So Absolute" "PS" 1 2013 2012-09-05 0 10 0 0 0 0
"Absolut® Memory Distortions" "PS" 1 2003 2001-09-20 0 4 0 0 0 0
"Absorbed in Thought" "PS" 1 2011 2010-03-18 0 2 0 0 0 0
"Abstract Structural Representations of Goal-Directed Behavior" "PS" 1 2010 2009-07-11 0 4 0 0 0 0
"Accentuate the Negative" "PS" 1 2006 2005-10-18 0 9 0 0 0 0
"Accessibility Effects on Implicit Social Cognition  The Role of Knowledge A...  EBSCOhost" "JPSP" 0 2005 2004-05-25 0 36 0 0 0 0
"Accounting for the Richness of Daily Activities" "PS" 1 2009 2008-07-25 0 4 0 0 0 0
"Accuracy and artifact  Reexamining the intensity bias in affective forecast...  EBSCOhost" "JPSP" 0 2012 2011-09-19 0 41 3 1 7.32 2.44
"Accuracy and awareness in the perception and categorization of male sexual ...  EBSCOhost" "JPSP" 0 2008 2007-04-03 0 31 3 0 9.68 0
"Accuracy and consensus in judgments of trustworthiness from faces  Behavior...  EBSCOhost" "JPSP" 0 2013 2012-05-16 0 18 0 0 0 0
"Accuracy, error, and bias in predictions for real versus hypothetical event...  EBSCOhost" "JPSP" 0 2006 2005-09-01 0 34 3 0 8.82 0
"Acetaminophen Reduces Social Pain" "PS" 1 2010 2009-08-27 0 13 2 0 15.38 0
