"journal" "period" "articles_with_date" "articles_with_nhst" "perc_articles_with_nhst" "total_nr_nhst" "median_nhst_per_article" "total_nr_errors" "total_nr_dec_errors" "mean_perc_errors" "mean_perc_dec_errors"
"PS" 0 2943 2215 75.3 24281 9 2077 295 9.2 1.3
"PS" 1 809 591 73.1 10632 14 392 50 4 0.4
"JESP" 0 2007 1838 91.6 34818 15 2882 336 8.4 1.1
"JESP" 1 527 462 87.7 14351 26 579 44 4.6 0.3
"statcheck_total" 0 4950 4053 81.9 59099 11 4959 631 8.8 1.2
"statcheck_total" 1 1336 1053 78.8 24983 18 971 94 4.3 0.3
"JEPG" 0 1024 879 85.8 21684 19 1536 171 7.7 1.1
"JEPG" 1 795 653 82.1 15980 18 1020 108 6.8 0.9
"JPSP" 0 589 566 96.1 21526 34 1510 208 7 1
"JPSP" 1 120 110 91.7 4512 38.5 164 14 3.9 0.4
"control_total" 0 1613 1445 89.6 43210 24 3046 379 7.4 1
"control_total" 1 915 763 83.4 20492 19 1184 122 6.4 0.8
NA NA 8814 7314 83 147784 14 10160 1226 7.7 1
NA NA 8814 7314 83 147784 14 10160 1226 7.7 1
